order_id,customer_id,order_date,shipping_date,shipping_cost,shipping_country,shipping_city,shipping_company,delivery_days,delivery_status,is_domestic
ORD1278,CUST144,7/21/2025,7/27/2025,75.75,Bulgaria,New Sueside,Usps,6,ontime,No
ORD1030,CUST621,5/3/2025,5/11/2025,13.64,Congo,West Kathryn,Dhl,8,ontime,No
ORD1304,CUST973,11/14/2024,11/22/2024,15.13,Spain,Collierstad,Usps,8,ontime,No
ORD1420,CUST797,3/20/2025,3/30/2025,66.08,Nepal,Mitchelltown,Amazon Logistics,10,ontime,No
ORD1444,CUST932,1/2/2025,1/5/2025,68.66,Czech Republic,Kellieborough,Amazon Logistics,3,ontime,No
ORD1079,CUST182,8/24/2025,9/7/2025,22.65,Guinea-Bissau,Lake John,Amazon Logistics,14,late,No
ORD1318,CUST363,3/7/2025,3/21/2025,94.7,Mozambique,South Reginashire,Ups,14,late,No
ORD1210,CUST438,4/19/2025,4/25/2025,71.77,Hungary,Port Kimberly,Ups,6,ontime,No
ORD1496,CUST142,4/27/2025,5/3/2025,93.67,Antigua And Barbuda,Harperton,Amazon Logistics,6,ontime,No
ORD1172,CUST286,2/22/2025,2/23/2025,29.71,Gambia,New Susanville,Ups,1,ontime,No
ORD1453,CUST285,5/14/2025,5/28/2025,70.82,Djibouti,North Robertfort,Amazon Logistics,14,late,No
ORD1374,CUST462,10/18/2024,11/1/2024,,Belgium,Donnaport,Usps,14,late,No
ORD1358,CUST802,4/1/2025,4/3/2025,51.58,Mayotte,South Morganton,Usps,2,ontime,No
ORD1494,CUST164,8/14/2025,8/26/2025,78.74,Saint Kitts And Nevis,North Lisachester,Usps,12,late,No
ORD1153,CUST365,2/13/2025,2/26/2025,28.49,Liechtenstein,Lake Thomas,Ups,13,late,No
ORD1002,CUST792,10/12/2024,10/24/2024,89.76,Nauru,Johnsonland,Dhl,12,late,No
ORD1335,CUST730,6/5/2025,6/12/2025,94.21,Sierra Leone,Lake Samuel,Ups,7,ontime,No
ORD1208,CUST413,4/6/2025,4/17/2025,60.25,Liberia,Martinside,Usps,11,ontime,No
ORD1073,CUST533,10/14/2024,10/26/2024,,North Macedonia,Calderonton,Amazon Logistics,12,late,No
ORD1495,CUST137,5/5/2025,5/10/2025,24.15,Seychelles,East Jamieville,Fedex,5,ontime,No
ORD1451,CUST138,12/23/2024,1/3/2025,36.99,Venezuela,Derrickshire,Amazon Logistics,11,ontime,No
ORD1204,CUST187,4/29/2025,5/3/2025,73.41,Malawi,Port Chad,Usps,4,ontime,No
ORD1068,CUST151,9/12/2024,9/23/2024,,Papua New Guinea,Sarahville,Dhl,11,ontime,No
ORD1090,CUST350,8/15/2025,8/21/2025,32.07,Eritrea,New Sydney,Usps,6,ontime,No
ORD1299,CUST570,4/3/2025,4/8/2025,68.35,Romania,New Angelica,Usps,5,ontime,No
ORD1033,CUST494,12/10/2024,12/17/2024,61.61,Azerbaijan,New Stacey,Usps,7,ontime,No
ORD1070,CUST516,10/20/2024,10/28/2024,50.73,Samoa,West Juan,Usps,8,ontime,No
ORD1469,CUST482,12/19/2024,12/23/2024,41.69,Hungary,South Karen,Unspecified,4,ontime,No
ORD1000,CUST754,5/15/2025,5/17/2025,7.38,Bouvet Island (Bouvetoya),Lake Joshuabury,Ups,2,ontime,No
ORD1011,CUST718,10/9/2024,10/14/2024,81.68,Timor-Leste,Port Craig,Usps,5,ontime,No
ORD1281,CUST439,10/19/2024,11/2/2024,14.53,Morocco,East Diane,Usps,14,late,No
ORD1022,CUST324,3/25/2025,4/5/2025,35.81,Lithuania,Port Brandonville,Dhl,11,ontime,No
ORD1101,CUST664,5/2/2025,5/14/2025,45.63,Palau,Stevenmouth,Dhl,12,late,No
ORD1268,CUST349,10/2/2024,10/10/2024,57.37,Lesotho,Simmonsville,Usps,8,ontime,No
ORD1484,CUST636,9/26/2024,10/2/2024,11.43,Jamaica,Isabellaside,Amazon Logistics,6,ontime,No
ORD1441,CUST771,5/24/2025,6/5/2025,67.9,Lesotho,Edwardsburgh,Fedex,12,late,No
ORD1290,CUST332,7/7/2025,7/19/2025,13.59,Western Sahara,North Ericton,Dhl,12,late,No
ORD1084,CUST309,7/17/2025,7/28/2025,73.04,Paraguay,West Erik,Fedex,11,ontime,No
ORD1245,CUST356,4/24/2025,4/25/2025,13.68,Hong Kong,Danielbury,Amazon Logistics,1,ontime,No
ORD1063,CUST162,12/10/2024,12/17/2024,74.18,Estonia,Andersonport,Dhl,7,ontime,No
ORD1055,CUST172,5/24/2025,6/5/2025,64.95,Saint Barthelemy,Mooreport,Fedex,12,late,No
ORD1229,CUST412,2/5/2025,2/15/2025,64,Timor-Leste,Rodriguezfurt,Amazon Logistics,10,ontime,No
ORD1018,CUST266,10/4/2024,10/10/2024,38.75,Croatia,Jasonfort,Ups,6,ontime,No
ORD1410,CUST547,2/17/2025,3/3/2025,15.06,Liberia,Harrisberg,Usps,14,late,No
ORD1209,CUST666,2/2/2025,2/11/2025,37.66,Korea,Mollybury,Amazon Logistics,9,ontime,No
ORD1394,CUST873,10/4/2024,10/13/2024,,Georgia,Unkown,Usps,9,ontime,No
ORD1082,CUST140,7/16/2025,7/26/2025,12.79,Sudan,South Angel,Amazon Logistics,10,ontime,No
ORD1039,CUST612,3/3/2025,3/16/2025,21.97,British Indian Ocean Territory (Chagos Archipelago),East Caleb,Dhl,13,late,No
ORD1455,CUST520,9/4/2025,9/10/2025,69.25,Cayman Islands,Delgadofort,Unspecified,6,ontime,No
ORD1046,CUST187,2/23/2025,3/7/2025,51.17,Guinea,Jenkinston,Dhl,12,late,No
ORD1412,CUST991,2/10/2025,2/15/2025,75.85,Bulgaria,Zacharyville,Fedex,5,ontime,No
ORD1314,CUST473,11/6/2024,11/18/2024,17.48,Kazakhstan,South Scottport,Ups,12,late,No
ORD1354,CUST562,10/3/2024,10/12/2024,26.05,Bouvet Island (Bouvetoya),Carlsontown,Amazon Logistics,9,ontime,No
ORD1077,CUST158,4/8/2025,4/9/2025,60.5,Argentina,Brandiberg,Amazon Logistics,1,ontime,No
ORD1397,CUST325,1/20/2025,1/27/2025,98.52,Brunei Darussalam,Port Tammy,Dhl,7,ontime,No
ORD1104,CUST665,10/15/2024,10/18/2024,,Svalbard & Jan Mayen Islands,Lake Lance,Dhl,3,ontime,No
ORD1203,CUST669,3/5/2025,3/6/2025,54.08,Micronesia,South James,Fedex,1,ontime,No
ORD1380,CUST331,12/9/2024,12/22/2024,45.77,Slovakia (Slovak Republic),Michaelshire,Amazon Logistics,13,late,No
ORD1488,CUST359,3/2/2025,3/14/2025,6.54,Trinidad And Tobago,Bennettside,Dhl,12,late,No
ORD1069,CUST195,9/8/2025,9/21/2025,85.63,Turkey,West Darrell,Fedex,13,late,No
ORD1407,CUST217,5/7/2025,5/14/2025,6.98,Northern Mariana Islands,South Pamelaside,Ups,7,ontime,No
ORD1255,CUST431,4/8/2025,4/10/2025,97.17,United Arab Emirates,Bruceview,Usps,2,ontime,No
ORD1391,CUST261,12/5/2024,12/18/2024,63.69,British Virgin Islands,Port Dominic,Dhl,13,late,No
ORD1311,CUST794,6/30/2025,7/13/2025,73.49,Palau,East Stephaniefort,Fedex,13,late,No
ORD1234,CUST581,12/3/2024,12/8/2024,8.1,North Macedonia,New John,Ups,5,ontime,No
ORD1473,CUST812,1/29/2025,2/12/2025,18.19,Nicaragua,East Susan,Usps,14,late,No
ORD1323,CUST909,12/27/2024,1/3/2025,6.32,Iceland,Schroederton,Amazon Logistics,7,ontime,No
ORD1093,CUST406,12/16/2024,12/27/2024,,Aruba,Smithside,Fedex,11,ontime,No
ORD1137,CUST912,7/8/2025,7/21/2025,74.92,Svalbard & Jan Mayen Islands,West Daniel,Dhl,13,late,No
ORD1176,CUST867,12/31/2024,1/9/2025,9.95,Antigua And Barbuda,West Jasmine,Ups,9,ontime,No
ORD1336,CUST133,2/15/2025,2/27/2025,40.2,Haiti,South Cheryl,Usps,12,late,No
ORD1131,CUST230,12/26/2024,12/30/2024,44.94,Sao Tome And Principe,Kingland,Usps,4,ontime,No
ORD1047,CUST878,5/28/2025,6/6/2025,77.75,Palau,North Richardmouth,Fedex,9,ontime,No
ORD1364,CUST973,10/3/2024,10/14/2024,66.84,Saint Barthelemy,Johnsonborough,Amazon Logistics,11,ontime,No
ORD1132,CUST793,3/10/2025,3/22/2025,90.77,Andorra,West Jeffreyland,Amazon Logistics,12,late,No
ORD1331,CUST604,1/19/2025,1/21/2025,14.23,Yemen,Leeberg,Amazon Logistics,2,ontime,No
ORD1411,CUST703,1/8/2025,1/15/2025,54.78,Tokelau,Jessicastad,Usps,7,ontime,No
ORD1067,CUST927,2/26/2025,3/12/2025,86.32,Syrian Arab Republic,Cherylhaven,Dhl,14,late,No
ORD1349,CUST115,9/23/2024,9/29/2024,80.05,France,Hortonberg,Fedex,6,ontime,No
ORD1086,CUST568,12/4/2024,12/10/2024,93.26,Cook Islands,Baileybury,Dhl,6,ontime,No
ORD1075,CUST403,11/10/2024,11/14/2024,97.03,Saint Vincent And The Grenadines,Arnoldchester,Amazon Logistics,4,ontime,No
ORD1442,CUST709,3/6/2025,3/18/2025,94.11,United States Minor Outlying Islands,Amyview,Ups,12,late,No
ORD1015,CUST146,11/11/2024,11/22/2024,26.65,Kyrgyz Republic,Nelsonside,Ups,11,ontime,No
ORD1325,CUST698,4/13/2025,4/20/2025,83.13,Philippines,Mitchellberg,Ups,7,ontime,No
ORD1388,CUST564,11/15/2024,11/21/2024,19.95,United Arab Emirates,Osbornmouth,Ups,6,ontime,No
ORD1019,CUST818,2/9/2025,2/20/2025,66.56,Turks And Caicos Islands,Thomasberg,Amazon Logistics,11,ontime,No
ORD1324,CUST226,7/12/2025,7/20/2025,40.02,Norfolk Island,Cameronville,Ups,8,ontime,No
ORD1334,CUST524,4/28/2025,5/9/2025,14.41,Honduras,East Henry,Usps,11,ontime,No
ORD1056,CUST169,12/2/2024,12/3/2024,86.67,Azerbaijan,Lake Leeton,Dhl,1,ontime,No
ORD1338,CUST802,1/7/2025,1/13/2025,56.72,Sudan,Mckeeborough,Ups,6,ontime,No
ORD1408,CUST275,12/30/2024,1/12/2025,95.02,Norway,Timothyfurt,Usps,13,late,No
ORD1333,CUST529,3/25/2025,4/4/2025,75.52,Sierra Leone,Lake Matthewberg,Fedex,10,ontime,No
ORD1181,CUST323,6/26/2025,7/4/2025,71.45,Sweden,Scottmouth,Ups,8,ontime,No
ORD1227,CUST894,1/21/2025,1/30/2025,41.14,Namibia,Daniellechester,Usps,9,ontime,No
ORD1426,CUST951,1/31/2025,2/5/2025,12.29,South Africa,Angelastad,Dhl,5,ontime,No
ORD1180,CUST229,10/6/2024,10/14/2024,68.6,Bahamas,Port Kyle,Amazon Logistics,8,ontime,No
ORD1025,CUST997,4/2/2025,4/14/2025,34.89,El Salvador,Lake Jenniferside,Usps,12,late,No
ORD1329,CUST817,7/21/2025,7/26/2025,66.68,Brunei Darussalam,Lake Ellenhaven,Dhl,5,ontime,No
ORD1238,CUST535,1/13/2025,1/15/2025,56.73,San Marino,Thompsonberg,Fedex,2,ontime,No
ORD1244,CUST140,9/14/2024,9/21/2024,74.78,Estonia,South Miguelview,Amazon Logistics,7,ontime,No
ORD1250,CUST193,10/31/2024,11/8/2024,38.06,Iceland,Watsonside,Ups,8,ontime,No
ORD1417,CUST277,3/21/2025,3/31/2025,19.52,Malaysia,Jimenezport,Dhl,10,ontime,No
ORD1117,CUST436,2/26/2025,3/3/2025,87.11,Belarus,Jimmymouth,Ups,5,ontime,No
ORD1042,CUST652,8/8/2025,8/21/2025,92.63,Greenland,New Johnfort,Dhl,13,late,No
ORD1321,CUST980,6/13/2025,6/24/2025,73.8,Belize,North John,Usps,11,ontime,No
ORD1346,CUST102,2/17/2025,2/22/2025,86.55,Austria,Shawbury,Fedex,5,ontime,No
ORD1182,CUST271,6/3/2025,6/13/2025,62.69,Gabon,Benderhaven,Dhl,10,ontime,No
ORD1155,CUST381,1/1/2025,1/9/2025,,Cyprus,Holtport,Ups,8,ontime,No
ORD1280,CUST607,8/12/2025,8/13/2025,16.99,United States Virgin Islands,West Carolinestad,Amazon Logistics,1,ontime,No
ORD1126,CUST803,6/17/2025,6/29/2025,94.32,Chad,Calhounside,Fedex,12,late,No
ORD1448,CUST296,7/23/2025,7/27/2025,100,Guatemala,West Bobby,Fedex,4,ontime,No
ORD1031,CUST981,4/6/2025,4/8/2025,19.52,Zimbabwe,New Mariotown,Fedex,2,ontime,No
ORD1113,CUST491,5/4/2025,5/18/2025,8.68,Suriname,Rivasside,Usps,14,late,No
ORD1148,CUST567,12/26/2024,12/29/2024,81.13,Turkmenistan,Sanchezmouth,Amazon Logistics,3,ontime,No
ORD1429,CUST560,7/18/2025,7/31/2025,59.31,Lebanon,Hernandezhaven,Fedex,13,late,No
ORD1400,CUST435,12/5/2024,12/7/2024,5.73,Guatemala,Meghanview,Usps,2,ontime,No
ORD1057,CUST626,4/23/2025,4/27/2025,31.46,Lesotho,North Susan,Usps,4,ontime,No
ORD1194,CUST824,2/16/2025,2/19/2025,46.37,Austria,Unkown,Amazon Logistics,3,ontime,No
ORD1024,CUST510,4/28/2025,5/3/2025,11.29,Bahrain,Jamesmouth,Amazon Logistics,5,ontime,No
ORD1017,CUST489,12/6/2024,12/11/2024,48.07,Swaziland,Port Leslieview,Ups,5,ontime,No
ORD1297,CUST734,7/2/2025,7/13/2025,27.88,Equatorial Guinea,Marktown,Amazon Logistics,11,ontime,No
ORD1066,CUST355,9/6/2025,9/20/2025,92.71,Guernsey,Unkown,Usps,14,late,No
ORD1211,CUST413,9/25/2024,9/30/2024,26.9,Ghana,Thorntonfurt,Fedex,5,ontime,No
ORD1403,CUST173,9/9/2025,9/16/2025,86.87,Mozambique,East Donna,Dhl,7,ontime,No
ORD1094,CUST370,6/2/2025,6/4/2025,89.52,Saint Helena,West Ryan,Amazon Logistics,2,ontime,No
ORD1154,CUST884,6/12/2025,6/25/2025,54.52,Liechtenstein,Mcguireland,Fedex,13,late,No
ORD1440,CUST779,6/10/2025,6/13/2025,92.09,Burundi,New Mark,Ups,3,ontime,No
ORD1023,CUST334,11/7/2024,11/21/2024,8.05,Niue,Port Erin,Ups,14,late,No
ORD1225,CUST187,12/16/2024,12/20/2024,16.25,Kuwait,Elizabethmouth,Usps,4,ontime,No
ORD1432,CUST831,3/12/2025,3/14/2025,52.93,Suriname,West Markville,Fedex,2,ontime,No
ORD1446,CUST470,4/14/2025,4/15/2025,39.45,Vietnam,Keithshire,Fedex,1,ontime,No
ORD1005,CUST674,6/30/2025,7/4/2025,73.02,Sri Lanka,Lake Roberto,Amazon Logistics,4,ontime,No
ORD1116,CUST328,7/3/2025,7/4/2025,67.7,Slovakia (Slovak Republic),Simsview,Usps,1,ontime,No
ORD1045,CUST159,7/19/2025,7/23/2025,88.41,Ireland,North Collin,Dhl,4,ontime,No
ORD1016,CUST181,12/3/2024,12/17/2024,27.12,Poland,Meganton,Dhl,14,late,No
ORD1467,CUST193,1/14/2025,1/18/2025,82.59,Benin,Caldwellburgh,Ups,4,ontime,No
ORD1361,CUST661,7/5/2025,7/17/2025,,Mozambique,Dennisstad,Amazon Logistics,12,late,No
ORD1003,CUST704,12/2/2024,12/9/2024,8.02,Djibouti,New Jamesside,Dhl,7,ontime,No
ORD1294,CUST467,5/30/2025,6/5/2025,45.92,Philippines,Roseport,Fedex,6,ontime,No
ORD1185,CUST689,10/14/2024,10/25/2024,91.26,Denmark,Port Emilyview,Usps,11,ontime,No
ORD1060,CUST926,8/20/2025,8/27/2025,23.09,Montenegro,New Brooke,Dhl,7,ontime,No
ORD1110,CUST522,6/6/2025,6/7/2025,22.04,Maldives,Williamsbury,Ups,1,ontime,No
ORD1320,CUST579,11/6/2024,11/8/2024,18.37,Bahamas,Garciamouth,Fedex,2,ontime,No
ORD1265,CUST572,10/23/2024,10/25/2024,66.53,Samoa,South Shanestad,Fedex,2,ontime,No
ORD1029,CUST508,8/13/2025,8/19/2025,25.84,Niue,Meaganhaven,Fedex,6,ontime,No
ORD1262,CUST745,7/16/2025,7/26/2025,80.93,China,Lake Michelleberg,Fedex,10,ontime,No
ORD1477,CUST213,10/9/2024,10/22/2024,32.37,United States Virgin Islands,North Mariahaven,Ups,13,late,No
ORD1026,CUST505,6/27/2025,7/8/2025,48.59,Ethiopia,Danielchester,Ups,11,ontime,No
ORD1007,CUST928,10/15/2024,10/29/2024,5.62,Hong Kong,West Melanieview,Fedex,14,late,No
ORD1457,CUST339,1/11/2025,1/20/2025,27.72,France,Port Christophershire,Usps,9,ontime,No
ORD1108,CUST735,11/5/2024,11/17/2024,19.68,Palau,Port Michelleville,Fedex,12,late,No
ORD1037,CUST214,11/30/2024,12/5/2024,46.3,Vanuatu,Lake Larry,Usps,5,ontime,No
ORD1157,CUST182,1/20/2025,1/23/2025,19.33,Jamaica,Michaelmouth,Usps,3,ontime,No
ORD1471,CUST959,10/3/2024,10/15/2024,66.75,Papua New Guinea,South Kurtfurt,Unspecified,12,late,No
ORD1118,CUST459,1/11/2025,1/22/2025,53.39,Uganda,East Edwardfurt,Amazon Logistics,11,ontime,No
ORD1114,CUST327,3/1/2025,3/5/2025,82.58,Ukraine,Lake Michelle,Usps,4,ontime,No
ORD1175,CUST358,9/10/2024,9/24/2024,12.78,Ireland,Norrisfort,Dhl,14,late,No
ORD1192,CUST112,9/23/2024,10/7/2024,44.91,Korea,West Johnnyville,Usps,14,late,No
ORD1272,CUST389,1/1/2025,1/13/2025,33.36,Korea,Garciaville,Amazon Logistics,12,late,No
ORD1144,CUST606,7/25/2025,8/1/2025,28.18,Liechtenstein,South Susanmouth,Dhl,7,ontime,No
ORD1489,CUST453,10/30/2024,11/3/2024,74.63,Palau,Davidside,Dhl,4,ontime,No
ORD1382,CUST126,1/31/2025,2/10/2025,93.26,Holy See (Vatican City State),Hinesshire,Ups,10,ontime,No
ORD1355,CUST144,5/12/2025,5/24/2025,79.41,Malaysia,Lake Douglas,Amazon Logistics,12,late,No
ORD1277,CUST685,10/5/2024,10/12/2024,27.19,Bermuda,North Ryanstad,Usps,7,ontime,No
ORD1220,CUST993,2/28/2025,3/1/2025,59.54,Chad,Rebeccaton,Usps,1,ontime,No
ORD1449,CUST179,6/13/2025,6/18/2025,85.22,Belgium,Unkown,Dhl,5,ontime,No
ORD1141,CUST250,1/4/2025,1/5/2025,9.39,Thailand,Port Tonyaton,Usps,1,ontime,No
ORD1368,CUST537,1/25/2025,1/31/2025,68.19,Tokelau,Port Dianaview,Ups,6,ontime,No
ORD1067,CUST927,2/26/2025,3/12/2025,86.32,Syrian Arab Republic,Cherylhaven,Dhl,14,late,No
ORD1360,CUST167,1/25/2025,1/28/2025,31.13,Solomon Islands,West Johnville,Amazon Logistics,3,ontime,No
ORD1168,CUST841,5/11/2025,5/14/2025,84.85,Poland,East Edwardshire,Fedex,3,ontime,No
ORD1498,CUST137,12/2/2024,12/15/2024,66.46,Saudi Arabia,Unkown,Ups,13,late,No
ORD1378,CUST329,10/8/2024,10/22/2024,15.28,Paraguay,Coxburgh,Amazon Logistics,14,late,No
ORD1365,CUST838,9/26/2024,10/10/2024,25.43,Somalia,North Leslie,Usps,14,late,No
ORD1193,CUST208,7/6/2025,7/13/2025,96.27,Iraq,Lake Mollymouth,Usps,7,ontime,No
ORD1249,CUST285,1/5/2025,1/15/2025,46.41,Lithuania,North Jimmyside,Usps,10,ontime,No
ORD1109,CUST985,7/8/2025,7/11/2025,97.74,Jamaica,East Linda,Fedex,3,ontime,No
ORD1433,CUST140,2/17/2025,2/21/2025,72.22,Myanmar,Lauratown,Usps,4,ontime,No
ORD1145,CUST868,6/10/2025,6/24/2025,78.15,Cape Verde,Thompsonhaven,Dhl,14,late,No
ORD1092,CUST926,2/25/2025,3/8/2025,55.25,New Caledonia,South Rachelborough,Amazon Logistics,11,ontime,No
ORD1152,CUST262,4/12/2025,4/24/2025,86.84,Algeria,North John,Usps,12,late,No
ORD1222,CUST358,11/4/2024,11/18/2024,50.38,Ecuador,Knightburgh,Dhl,14,late,No
ORD1409,CUST951,1/2/2025,1/14/2025,92.38,Korea,Lake Brianmouth,Dhl,12,late,No
ORD1083,CUST678,6/22/2025,7/1/2025,35.06,Uzbekistan,Kimberlychester,Ups,9,ontime,No
ORD1248,CUST581,5/19/2025,5/28/2025,66.89,Ireland,East Brandonton,Ups,9,ontime,No
ORD1165,CUST919,4/19/2025,4/29/2025,90.29,Finland,Mendozamouth,Usps,10,ontime,No
ORD1163,CUST106,9/30/2024,10/6/2024,33.37,Micronesia,Heidiberg,Usps,6,ontime,No
ORD1199,CUST683,2/14/2025,2/24/2025,68.48,Bermuda,Port Robin,Ups,10,ontime,No
ORD1231,CUST740,9/17/2024,9/21/2024,30.14,Switzerland,Hillshire,Dhl,4,ontime,No
ORD1074,CUST777,9/10/2024,9/22/2024,51.23,Grenada,Lake Tina,Fedex,12,late,No
ORD1310,CUST324,12/17/2024,12/28/2024,23.06,Congo,New Eric,Ups,11,ontime,No
ORD1454,CUST928,10/18/2024,10/21/2024,73.51,Pitcairn Islands,North Tamara,Dhl,3,ontime,No
ORD1253,CUST778,9/21/2024,9/28/2024,82.29,Portugal,Jeffmouth,Amazon Logistics,7,ontime,No
ORD1119,CUST439,6/5/2025,6/6/2025,15.96,Cape Verde,North Robert,Ups,1,ontime,No
ORD1284,CUST176,8/3/2025,8/11/2025,79.24,Monaco,New Sarahview,Ups,8,ontime,No
ORD1301,CUST552,2/25/2025,3/3/2025,98.83,Andorra,Morsemouth,Ups,6,ontime,No
ORD1482,CUST539,4/14/2025,4/15/2025,63.41,Kyrgyz Republic,Jenniferfurt,Fedex,1,ontime,No
ORD1356,CUST408,2/22/2025,3/2/2025,66.12,Afghanistan,Johnchester,Dhl,8,ontime,No
ORD1402,CUST612,5/5/2025,5/14/2025,84.17,Martinique,New Danielleshire,Ups,9,ontime,No
ORD1228,CUST404,6/4/2025,6/18/2025,60.91,El Salvador,Bruceborough,Usps,14,late,No
ORD1261,CUST548,9/10/2024,9/22/2024,51.05,Falkland Islands (Malvinas),East Amber,Dhl,12,late,No
ORD1237,CUST906,4/22/2025,5/5/2025,64.38,Haiti,Unkown,Fedex,13,late,No
ORD1437,CUST167,9/21/2024,9/27/2024,13.98,Montserrat,East Andrewmouth,Usps,6,ontime,No
ORD1475,CUST119,2/17/2025,2/22/2025,25.49,Reunion,Toddborough,Fedex,5,ontime,No
ORD1036,CUST868,4/10/2025,4/15/2025,78.02,Chad,Allisonchester,Ups,5,ontime,No
ORD1196,CUST893,12/21/2024,12/29/2024,49.16,Mexico,West Samuel,Amazon Logistics,8,ontime,No
ORD1139,CUST443,2/10/2025,2/12/2025,82.75,Western Sahara,North Brittany,Fedex,2,ontime,No
ORD1367,CUST508,3/11/2025,3/18/2025,74.31,El Salvador,Port Deborahport,Ups,7,ontime,No
ORD1247,CUST690,5/18/2025,5/19/2025,77.5,Bahrain,Blankenshipport,Fedex,1,ontime,No
ORD1287,CUST489,4/16/2025,4/22/2025,64.55,Palestinian Territory,Jonestown,Usps,6,ontime,No
ORD1377,CUST619,5/5/2025,5/9/2025,,Jordan,Danielleton,Usps,4,ontime,No
ORD1059,CUST690,5/29/2025,6/6/2025,28.08,Tokelau,South David,Usps,8,ontime,No
ORD1111,CUST901,8/31/2025,9/7/2025,81.21,Thailand,South Dennismouth,Fedex,7,ontime,No
ORD1089,CUST371,2/11/2025,2/14/2025,93.66,Philippines,Sheilaville,Dhl,3,ontime,No
ORD1266,CUST610,3/27/2025,4/8/2025,32.73,Nauru,South Williamton,Ups,12,late,No
ORD1006,CUST529,12/25/2024,12/29/2024,47.67,Cape Verde,Port Matthew,Ups,4,ontime,No
ORD1456,CUST554,3/13/2025,3/23/2025,32.07,Pakistan,Port Tamara,Usps,10,ontime,No
ORD1347,CUST233,2/5/2025,2/14/2025,28.81,Belgium,Jeffreymouth,Fedex,9,ontime,No
ORD1340,CUST968,7/8/2025,7/22/2025,48.2,Hong Kong,Burchborough,Fedex,14,late,No
ORD1158,CUST810,12/23/2024,12/26/2024,72.11,Gambia,Jerryborough,Dhl,3,ontime,No
ORD1150,CUST727,8/5/2025,8/19/2025,73.33,Greece,South Jason,Amazon Logistics,14,late,No
ORD1177,CUST329,6/9/2025,6/20/2025,11.52,Tokelau,Jonesbury,Dhl,11,ontime,No
ORD1396,CUST598,10/27/2024,11/5/2024,68.38,Ghana,South Stevenhaven,Dhl,9,ontime,No
ORD1184,CUST210,8/20/2025,8/30/2025,7.44,Jersey,Cassandratown,Ups,10,ontime,No
ORD1317,CUST643,10/8/2024,10/17/2024,91.78,Oman,New Brookefurt,Fedex,9,ontime,No
ORD1010,CUST489,4/21/2025,4/23/2025,39.1,Congo,North Donnaport,Ups,2,ontime,No
ORD1383,CUST129,11/1/2024,11/4/2024,30.96,Marshall Islands,Raymondview,Ups,3,ontime,No
ORD1103,CUST658,5/22/2025,5/23/2025,84.29,Belize,Zacharymouth,Amazon Logistics,1,ontime,No
ORD1081,CUST222,9/3/2025,9/13/2025,28.39,Venezuela,Port Francisco,Amazon Logistics,10,ontime,No
ORD1038,CUST103,5/27/2025,6/8/2025,88.21,Pakistan,Samuelhaven,Ups,12,late,No
ORD1316,CUST235,3/7/2025,3/20/2025,56.24,Korea,North Miguelport,Ups,13,late,No
